Division,Fee,Event ID,Event Name,URL,Date,City,State,Park,Teams
8U,30,2401,ONE-DAY Mother's Day Classic,https://www.grandslamtournaments.com/baseball/Events/2401/one-day-mothers-day-classic,14-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
9U,100,2401,ONE-DAY Mother's Day Classic,https://www.grandslamtournaments.com/baseball/Events/2401/one-day-mothers-day-classic,15-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
10U,100,2401,ONE-DAY Mother's Day Classic,https://www.grandslamtournaments.com/baseball/Events/2401/one-day-mothers-day-classic,16-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,1
11U,100,2401,ONE-DAY Mother's Day Classic,https://www.grandslamtournaments.com/baseball/Events/2401/one-day-mothers-day-classic,17-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
12U,100,2401,ONE-DAY Mother's Day Classic,https://www.grandslamtournaments.com/baseball/Events/2401/one-day-mothers-day-classic,18-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
13U,100,2401,ONE-DAY Mother's Day Classic,https://www.grandslamtournaments.com/baseball/Events/2401/one-day-mothers-day-classic,19-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
14U,100,2401,ONE-DAY Mother's Day Classic,https://www.grandslamtournaments.com/baseball/Events/2401/one-day-mothers-day-classic,20-May,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
9U,200,2324,Battle for the North,https://www.grandslamtournaments.com/baseball/Events/2324/battle-for-the-north,21-May,MONROE,LA,ULM UNIVERSITY PARK,0
10U,200,2324,Battle for the North,https://www.grandslamtournaments.com/baseball/Events/2324/battle-for-the-north,22-May,MONROE,LA,ULM UNIVERSITY PARK,1
11U,200,2324,Battle for the North,https://www.grandslamtournaments.com/baseball/Events/2324/battle-for-the-north,23-May,MONROE,LA,ULM UNIVERSITY PARK,0
12U,200,2324,Battle for the North,https://www.grandslamtournaments.com/baseball/Events/2324/battle-for-the-north,24-May,MONROE,LA,ULM UNIVERSITY PARK,0
13U,200,2324,Battle for the North,https://www.grandslamtournaments.com/baseball/Events/2324/battle-for-the-north,25-May,MONROE,LA,ULM UNIVERSITY PARK,1
14U,200,2324,Battle for the North,https://www.grandslamtournaments.com/baseball/Events/2324/battle-for-the-north,26-May,MONROE,LA,ULM UNIVERSITY PARK,0
13U,175,2434,Memorial Day Classic,https://www.grandslamtournaments.com/baseball/Events/2434/memorial-day-classic,27-May,THIBODAUX,LA,HERO'S PARK,0
14U,175,2434,Memorial Day Classic,https://www.grandslamtournaments.com/baseball/Events/2434/memorial-day-classic,28-May,THIBODAUX,LA,HERO'S PARK,0
